Unnamed: 0,Url,Price,Area,Price per cent,Location,Latitude,Longitude,distance_to_technopark,distance_to_agasthyamalai_hills,distance_to_ponmudi_hills,distance_to_nearest_beach,distance_to_nearest_lake,density,price_to_price_per_cent_ratio,beach_proximity,lake_proximity,Cluster
0,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kachani-trivandrum&id=4d423732303439333335,2500000.0,5.0,500000.0,kachani,8.5526,76.9945,17.21477248,42.49269778,46.67588702,15.66521024,14.07399545,Low,5.0,Inland,Inland,0
1,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-sreekaryam-trivandrum&id=4d423733323235393439,18000000.0,16.99724518,1058995.138,sreekariyam,8.5468,76.9164,6.659485,49.753912,53.937105,8.572485,6.981275,High,16.997245175265384,Inland,Inland,2
2,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-puliyarakonam-trivandrum&id=4d423734333134373437,7600000.0,7.998163453,950218.14,puliyarakonam,8.5399,77.0176,20.788535,42.973616,47.156809,17.943719,17.133328,Low,7.998163453288736,Inland,Inland,8
3,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-sreekaryam-trivandrum&id=4d423734373838393633,82500000.0,66.98806244,1231562.714,sreekariyam,8.5468,76.9164,6.659485,49.753912,53.937105,8.572485,6.981275,Low,66.98806245282285,Inland,Inland,2
4,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-ulloor-trivandrum&id=4d423735373636343137,10000000.0,5.99862259,1667049.368,ulloor,8.53,76.9289,9.111596,49.531731,53.714924,6.992217,5.401007,High,5.998622591481646,Inland,Inland,4
5,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vattaiyurkavu-trivandrum&id=4d423733363630393339,25800000.0,21.99724518,1172874.139,vattiyoorkavu,8.5242,76.9881,16.515234,46.077624,50.260817,12.939844,12.129453,Low,21.997245179263007,Inland,Inland,4
6,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-balaramapuram-trivandrum&id=4d423733393134333433,25000000.0,25.0,1000000.0,balaramapuram,8.4321,77.0503,28.722221,51.713743,55.896936,10.107014,7.286278,Low,25.0,Inland,Inland,3
7,https://www.magicbricks.com/propertyDetails/land-for-sale-in-nedumangad-trivandrum&id=4d423735313734303233,79100000.0,225.9641873,350055.4709,nedumangad,8.608,77.0046,20.217621,34.3255,38.508693,21.839424,20.248214,High,225.9641873233183,Inland,Inland,0
9,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-karyavattom-trivandrum&id=4d423735303934333739,11600000.0,10.99862259,1054677.52,karyavattom,8.5678,76.8908,2.866703,52.08072,56.263913,5.540415,9.009202,Low,10.998622593188484,Inland,Inland,2
12,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-pravachambalam-trivandrum&id=4d423734383631323137,4000000.0,8.999081726,444489.7959,pravachambalam,8.4494,77.0115,23.16121,54.077387,58.26058,9.69703,4.605345,Low,8.999081726726317,Inland,Inland,3
